Name,Height m (ft),Completed,Country,Location,Coordinates,Remarks
High Roller,168 (551),2014,US,"Las Vegas, Nevada",36deg07'03''N 115deg10'05''W / 36.117402degN 115.168127degW,World's tallest since 2014
Singapore Flyer,165 (541),2008,Singapore,"Marina Centre, Downtown Core",1deg17'22''N 103deg51'48''E / 1.289397degN 103.863231degE,World's tallest 2008-2014
Star of Nanchang,160 (525),2006,China,"Nanchang, Jiangxi",28deg39'34''N 115deg50'44''E / 28.659332degN 115.845568degE,World's tallest 2006-2008
London Eye,135 (443),2000,UK,"South Bank, Lambeth, London",51deg30'12''N 0deg07'11''W / 51.50334degN 0.1197821degW,World's tallest 2000-2006
Suzhou Ferris Wheel,120 (394),2009,China,"Suzhou, Jiangsu",31deg18'59''N 120deg42'30''E / 31.3162939degN 120.7084501degE,
Melbourne Star,120 (394),2008,Australia,"Docklands, Melbourne",37deg48'40''S 144deg56'13''E / 37.8110723degS 144.9368763degE,
Tianjin Eye,120 (394),2008,China,"Yongle Bridge, Tianjin",39deg09'12''N 117deg10'49''E / 39.1533636degN 117.1802616degE,
Changsha Ferris Wheel,120 (394),2004,China,"Changsha, Hunan",28deg10'56''N 112deg58'48''E / 28.1821772degN 112.9800886degE,
Zhengzhou Ferris Wheel,120 (394),2003,China,"Century Amusement Park, Henan",34deg43'58''N 113deg43'07''E / 34.732871degN 113.718739degE,
Sky Dream Fukuoka,120 (394),2002,Japan,"Evergreen Marinoa, Fukuoka, Kyushu",33deg35'44''N 130deg19'21''E / 33.5956845degN 130.3225279degE,Closed September 2009
Diamond and Flower Ferris Wheel,117 (384),2001,Japan,"Kasai Rinkai Park, Tokyo, Honshu",35deg38'38''N 139deg51'26''E / 35.6439052degN 139.8572257degE,
Star of Lake Tai [citation needed],115 (377),2008,China,"Lake Tai, Wuxi, Jiangsu",31deg31'15''N 120deg15'39''E / 31.5208296degN 120.260945degE,Picture
Daikanransha,115 (377),1999,Japan,"Palette Town, Odaiba, Honshu",35deg37'35''N 139deg46'56''E / 35.6263915degN 139.7822902degE,World's tallest 1999-2000
Cosmo Clock 21 (2nd installation),112.5 (369),1999,Japan,"Minato Mirai 21, Yokohama, Honshu",35deg27'19''N 139deg38'12''E / 35.4553872degN 139.6367347degE,
Tempozan Ferris Wheel,112.5 (369),1997,Japan,"Osaka, Honshu",34deg39'22''N 135deg25'52''E / 34.6561657degN 135.431031degE,World's tallest 1997-1999
Harbin Ferris Wheel,110 (361),2003,China,"Harbin, Heilongjiang",45deg46'40''N 126deg39'48''E / 45.7776481degN 126.6634637degE,Picture
Shanghai Ferris Wheel,108 (354),2002,China,"Jinjiang Action Park, Shanghai",31deg08'24''N 121deg24'11''E / 31.1401286degN 121.4030752degE,
Cosmo Clock 21 (1st installation),107.5 (353),1989,Japan,"Minato Mirai 21, Yokohama, Honshu",Unknown,World's tallest 1989-1997
Space Eye,100 (328),Unknown,Japan,"Space World, Kitakyushu, Kyushu",33deg52'18''N 130deg48'36''E / 33.8716939degN 130.8099014degE,Picture
Grande Roue de Paris,100 (328),1900,France,"Champ de Mars, Paris",48deg51'08''N 2deg17'57''E / 48.852222degN 2.299167degE,World's tallest 1900-1920
Great Wheel,94 (308),1895,UK,"Earls Court, London",51deg29'18''N 0deg11'56''W / 51.48835degN 0.19889degW,World's tallest 1895-1900
Aurora Wheel,90 (295),Unknown,Japan,"Nagashima Spa Land, Mie, Honshu",35deg01'47''N 136deg44'01''E / 35.0298207degN 136.7336351degE,Picture
Eurowheel,90 (295),1999,Italy,"Mirabilandia, Ravenna",44deg20'21''N 12deg15'44''E / 44.3392161degN 12.2622228degE,
Sky Wheel,88 (289),Unknown,Taiwan,"Janfusun Fancyworld, Gukeng",23deg37'13''N 120deg34'35''E / 23.6202611degN 120.5763352degE,
Technostar Technocosmos,85 (279),? 1985,Japan,"Expoland, Osaka, Honshu (?-2009) Expo '85, Tsukuba, Honshu (1985-?)",34deg48'14''N 135deg32'09''E / 34.803772degN 135.535916degE 36deg03'40''N 140deg04'23''E / 36.061203degN 140.073055degE,Technocosmos renamed/relocated World's tallest extant 1985-1989
The original Ferris Wheel,80.4 (264),1893,US,Chicago (1893-1903); St. Louis (1904-06),Ferris Wheel coordinates,World's tallest 1893-1894
