Event,Gold,Time,Silver,Time,Bronze,Time
K-1 200 m,Lisa Carrington (NZL),40.670,Marta Walczykiewicz (POL),40.670,Inna Osypenko-Radomska (UKR),40.670
K-1 500 m,Nicole Reinhardt (GER),1:48.668,Danuta Kozak (HUN),1:48.668,Inna Osypenko-Radomska (UKR),1:48.668
K-1 1000 m,Tamara Csipes (HUN),4:14.124,Krisztina Fazekas Zur (USA),4:14.124,Naomi Flood (AUS),4:14.124
K-1 5000 m,Tamara Csipes (HUN),22:37.294,Lani Belcher (GBR),22:37.294,Maryna Paltaran (BLR),22:37.294
K-2 200 m,Hungary Katalin Kovacs Danuta Kozak,38.369,Poland Karolina Naja Magdalena Krukowska,38.369,Australia Joanne Brigden-Jones Hannah Davis,38.369
K-2 500 m,Austria Yvonne Schuring Viktoria Schwarz,1:37.803,Germany Franziska Weber Tina Dietze,1:37.803,Poland Beata Mikolajczyk Aneta Konieczna,1:37.803
K-2 1000 m,Germany Anne Knorr Debora Niche,3:53.416,Bulgaria Berenike Faldum Daniela Nedeva,3:53.416,Hungary Aliz Sarudi Erika Medveczky,3:53.416
K-4 500 m,Hungary Gabriella Szabo Danuta Kozak Katalin Kovacs Dalma Benedek,1:37.887,Germany Carolin Leonhardt Silke Hormann Franziska Weber Tina Dietze,1:37.887,Belarus Iryna Pamialova Nadzeya Papok Volha Khudzenka Maryna Paltaran,1:37.887
K-1 4x200 m Relay,Germany Nicole Reinhardt Conny Wassmuth Tina Dietze Carolin Leonhardt,2:50.951,Russia Natalia Lobova Anastasiya Sergeeva Natalia Proskurina Svetlana Kudinova,2:50.951,Poland Marta Walczykiewicz Karolina Naja Aneta Konieczna Ewelina Wojnarowska,2:50.951
