Cellulose ethers,Reagent,Example,Reagent,Group R = H or,Water solubility,Application,E number
Alkyl,Chloromethane,Methylcellulose,Chloromethane,-CH3,Cold water soluble,,E461
,Chloroethane,Ethylcellulose,Chloroethane,-CH2CH3,Water insoluble,"A commercial thermoplastic used in coatings, inks, binders, and controlled-release drug tablets",E462
,Chloromethane and chloroethane,Ethyl methyl cellulose,Chloromethane and chloroethane,-CH3 or -CH2CH3,,,E465
Hydroxyalkyl,Ethylene oxide,Hydroxyethyl cellulose,Ethylene oxide,-CH2CH2OH,Cold/hot water soluble,Gelling and thickening agent,
,Propylene oxide,Hydroxypropyl cellulose (HPC),Propylene oxide,-CH2CH(OH)CH3,Cold water soluble,,E463
,Chloromethane and ethylene oxide,Hydroxyethyl methyl cellulose,Chloromethane and ethylene oxide,-CH3 or -CH2CH2OH,Cold water soluble,Production of cellulose films,
,Chloromethane and propylene oxide,Hydroxypropyl methyl cellulose (HPMC),Chloromethane and propylene oxide,-CH3 or -CH2CH(OH)CH3,Cold water soluble,"Viscosity modifier, gelling, foaming and binding agent",E464
,Chloroethane and ethylene oxide,Ethyl hydroxyethyl cellulose,Chloroethane and ethylene oxide,-CH2CH3 or--CH2CH2OH,,,E467
Carboxyalkyl,Chloroacetic acid,Carboxymethyl cellulose (CMC),Chloroacetic acid,-CH2COOH,Cold/Hot water soluble,"Often used as its sodium salt, sodium carboxymethyl cellulose (NaCMC)",E466
