Title,Date of creation,Surname,First titular
Duke of Abrantes,"December 9, 1753",Lorena,Ana Maria Catarina Henriqueta de Lorena
Duke of Albuquerque,"May 19, 1886",Costa de Sousa de Macedo,Joao Afonso da Costa de Sousa de Macedo
Duke of Aveiro,b. 1535,Lencastre Mascarenhas da Silva e Lencastre,"John of Lencastre, 1st Marquis of Torres Novas"
Duke of Avila and Bolama,"May 14, 1878",Avila,Antonio Jose de Avila
Duke of Barcelos,"August 5, 1562",Braganca,"John, 6th Duke of Braganza"
Duke of Beja,1453,Portugal-Aviz Braganca,"Ferdinand, Duke of Viseu"
Duke of Braganza,1442,Braganca,"Afonso, Count of Barcelos"
Duke of Cadaval,"April 26, 1648",Alvares Pereira de Melo,Nuno Alvares Pereira de Melo
Duke of Caminha,"December 14, 1620",Menezes,Miguel Luis de Menezes
Duke of Coimbra,1415,Portugal-Aviz Lencastre Braganca,"Pedro, Prince of Portugal"
Duke of Faial,"April 4, 1833",Sousa Holstein,Pedro de Sousa Holstein
Duke of Ficalho,"May 14, 1836",Almeida,Eugenia Mauricia Tomasia de Almeida Portugal
Duke of Goa,1515,Albuquerque,Afonso de Albuquerque
Duke of Guarda,"October 5, 1530",Portugal-Aviz,"Ferdinand, Prince of Portugal"
Duke of Guimaraes,1475,Braganca,"Fernando II, Duke of Braganza"
Duke of Lafoes,"February 17, 1718",Braganca Braganca e Ligne de Sousa Tavares Mascarenhas da Silva,Pedro Henrique de Braganca
Duke of Linhares,?,Noronha,Fernando de Noronha
Duke of Loule,"October 3, 1852",Mendonca Rolim de Moura Barreto,Nuno Jose Severo de Mendonca Rolim de Moura Barreto
Duke of Miranda do Corvo,"May 13, 1796",Braganca e Ligne de Sousa Tavares Mascarenhas da Silva,Jose Sousa Tavares Mascaranhas da Silva
Duke of Palmela,"October 10, 1850",Sousa Holstein,Pedro de Sousa Holstein
Duke of Porto,1833,Braganca,"Maria, Princess of Portugal (future Queen Maria II)"
Duke of Saldanha,"November 4, 1846",Saldanha Oliveira e Daun,Joao Francisco de Saldanha Oliveira e Daun
Duke of Tancos,"April 22, 1790",Manoel,Constanca Manoel
Duke of Terceira,"November 8, 1832",Manoel e Meneses Severim de Noronha,Antonio Jose de Sousa Manoel e Meneses Severim de Noronha
Duke of Torres Novas,"September 26, 1619",Lencastre,George of Lencastre
Duke of Trancoso,1530,Portugal-Aviz,"Ferdinand, Prince of Portugal"
Duke of Vila Real,"February 28, 1585",Menezes,Manuel de Menezes
Duke of Viseu,1415,Portugal-Aviz,"Henry, the Navigator, Prince of Portugal"
Duke of Vitoria,"December 12, 1812",Wellesley,"Arthur Wellesley, Duke of Wellington"
