Leg,Stage,Time,Name,Length,Winner,Time,Avg. spd.,Rally leader
1 (16 Feb),SS1,16:14.1,Loten 1,30.30 km,M. Hirvonen,16:14.1,111.98 km/h,M. Hirvonen
1 (16 Feb),SS2,8:08.4,Haslemoen,11.92 km,S. Loeb,8:08.4,87.86 km/h,M. Hirvonen
1 (16 Feb),SS3,16:09.9,Loten 2,30.30 km,M. Hirvonen,16:09.9,112.47 km/h,M. Hirvonen
1 (16 Feb),SS4,7:31.8,Grue,14.36 km,S. Loeb,7:31.8,114.42 km/h,M. Hirvonen
1 (16 Feb),SS5,7:59.8,Opaker,14.64 km,J. Latvala,7:59.8,109.85 km/h,M. Hirvonen
1 (16 Feb),SS6,9:44.5,Kongsvinger,14.60 km,S. Loeb,9:44.5,89.92 km/h,M. Hirvonen
1 (16 Feb),SS7,12:42.3,Finnskogen,21.29 km,S. Loeb,12:42.3,100.54 km/h,M. Hirvonen
1 (16 Feb),SS8,5:48.9,Kirkanaer,6.75 km,S. Loeb,5:48.9,69.65 km/h,M. Hirvonen
2 (17 Feb),SS9,24:40.3,Eleverum 1,44.27 km,M. Hirvonen,24:40.3,107.66 km/h,M. Hirvonen
2 (17 Feb),SS10,7:59.1,Terningmoen,12.71 km,D. Sordo,7:59.1,95.5 km/h,M. Hirvonen
2 (17 Feb),SS11,14:01.8,Mountain 1,24.36 km,M. Hirvonen,14:01.8,104.18 km/h,M. Hirvonen
2 (17 Feb),SS12,4:33.9,Lillehammar,5.98 km,M. Gronholm,4:33.9,78.6 km/h,M. Hirvonen
2 (17 Feb),SS13,16:29.7,Ringsaker 1,27.30 km,M. Gronholm,16:29.7,99.3 km/h,M. Hirvonen
2 (17 Feb),SS14,1:13.8,Hamar 1,1.14 km,M. Gronholm,1:13.8,55.61 km/h,M. Hirvonen
3 (18 Feb),SS15,13:18.2,Mountain 2,24.36 km,S. Loeb,13:18.2,109.87 km/h,M. Hirvonen
3 (18 Feb),SS16,15:28.6,Ringsaker 2,27.30 km,H. Solberg,15:28.6,105.84 km/h,M. Hirvonen
3 (18 Feb),SS17,1:11.8,Hamar 2,1.14 km,X. Pons  S. Loeb  P. Solberg,1:11.8,57.16 km/h,M. Hirvonen
3 (18 Feb),SS18,24:10.3,Eleverum 2,44.27 km,M. Gronholm,24:10.3,109.89 km/h,M. Hirvonen
