Name,Japanese,Distance (km),Connections,Location
Okayama,Gang Shan,0.0,"Sanyo Shinkansen, Sanyo Main Line, Ako Line, Hakubi Line, Uno Line (Seto-Ohashi Line), Tsuyama Line Okayama Electric Tramway: Higashiyama Line, Seikibashi Line","Kita-ku, Okayama"
Bizen-Mikado,Bei Qian San Men,1.9,,"Kita-ku, Okayama"
Daianji,Da An Si,3.3,,"Kita-ku, Okayama"
Bizen-Ichinomiya,Bei Qian Yi Gong,6.5,,"Kita-ku, Okayama"
Kibitsu,Ji Bei Jin,8.4,,"Kita-ku, Okayama"
Bitchu-Takamatsu,Bei Zhong Gao Song,11.0,,"Kita-ku, Okayama"
Ashimori,Zu Shou,13.4,,"Kita-ku, Okayama"
Hattori,Fu Bu,16.2,,Soja
Higashi-Soja,Dong Zong She,18.8,,Soja
Soja,Zong She,20.4,Hakubi Line Ibara Railway Ibara Line,Soja
