Church name,Address,Community,School
Blessed Sacrament,6657 W. Sunset Blvd.34deg05'53''N 118deg20'06''W / 34.09806degN 118.33500degW,Los Angeles (Hollywood),K-8[33]
St. Vibiana[34],923 South La Brea Ave.34deg03'28''N 118deg20'45''W / 34.05778degN 118.34583degW,Los Angeles (Mid-City),No
Christ the King[35],624 North Rossmore Ave.34deg04'56''N 118deg19'35''W / 34.08222degN 118.32639degW,Los Angeles (Hollywood),K-8[36]
Holy Spirit[37],1425 S. Dunsmuir Ave.34deg02'51''N 118deg21'15''W / 34.04750degN 118.35417degW,Los Angeles (Mid-City),
Immaculate Heart of Mary[38],4954 Santa Monica Blvd.34deg05'25''N 118deg17'51''W / 34.09028degN 118.29750degW,Los Angeles (East Hollywood),K-8[39] 9-12[40]
Nativity of the Blessed Virgin Mary (Ukrainian-Byzantine)[41],5154 De Longpre Ave.34deg05'47''N 118deg18'08''W / 34.09639degN 118.30222degW,Los Angeles (East Hollywood),No
Our Lady of Loretto,250 N. Union Ave.34deg04'00''N 118deg15'52''W / 34.06667degN 118.26444degW,Los Angeles (Echo Park),K-8[42]
Our Mother of Good Counsel[43],2060 N. Vermont Ave.34deg06'34''N 118deg17'29''W / 34.10944degN 118.29139degW,Los Angeles (Los Feliz),K-8[44]
Precious Blood,435 S. Occidental Blvd.34deg03'54''N 118deg17'02''W / 34.06500degN 118.28389degW,Los Angeles (Westlake),K-8[45]
San Conrado Mission[46],1820 Bouett St.34deg04'39''N 118deg14'06''W / 34.07750degN 118.23500degW,Los Angeles (Elysian Park),No
St. Basil,3611 Wilshire Blvd.34deg03'42''N 118deg18'11''W / 34.06167degN 118.30306degW,Los Angeles (Miracle Mile),No
St. Brendan,310 S. Van Ness Ave.34deg04'07''N 118deg18'53''W / 34.06861degN 118.31472degW,Los Angeles (Koreatown),K-8[47]
St. Bridget (Chinese)[48],510 Cottage Home St.34deg04'08''N 118deg14'08''W / 34.06889degN 118.23556degW,Los Angeles (Chinatown),No
St. Casimir,2718 Saint George St.34deg06'30''N 118deg16'29''W / 34.10833degN 118.27472degW,Los Angeles (Los Feliz),No
St. Columban,125 Loma Dr.34deg03'45''N 118deg15'49''W / 34.06250degN 118.26361degW,Los Angeles (Filipinotown),No
St. Francis of Assisi[49],1523 Golden Gate Ave.34deg05'23''N 118deg16'33''W / 34.08972degN 118.27583degW,Los Angeles (Silverlake),K-8[50]
St. Gregory Nazianzen[51],900 S. Bronson Ave.34deg03'21''N 118deg19'15''W / 34.05583degN 118.32083degW,Los Angeles (Koreatown),1-8[52]
St. Kevin[53],4072 Beverly Blvd.34deg04'34''N 118deg17'53''W / 34.07611degN 118.29806degW,Los Angeles (South Hollywood),No
St. Mary Magdalen[54],1241 Corning St.34deg03'16''N 118deg22'39''W / 34.05444degN 118.37750degW,Los Angeles (South Robertson),1-8[55]
St. Peter (Italian)[56],1039 N. Broadway34deg04'04''N 118deg14'06''W / 34.06778degN 118.23500degW,Los Angeles (Solano Canyon),No
St. Teresa of Avila[57],2215 Fargo St.34deg05'31''N 118deg15'32''W / 34.09194degN 118.25889degW,Los Angeles (Silverlake),K-8[58]
