Season,Champion,Runner-up,Score,Third place
1995-96,Slask Eska Wroclaw,Browary Tyskie Bobry Bytom,4-2,Polonia Przemysl
1996-97,Mazowszanka PEKAES Pruszkow,Spojnia Stargard Szczecinski,4-0,Browary Tyskie Bobry Bytom
1997-98,Zepter Slask Wroclaw,PEKAES Pruszkow,4-3,Ericsson Bobry Bytom
1998-99,Zepter Slask Wroclaw,Anwil Nobiles Wloclawek,4-3,Ericsson Bobry Bytom
1999-00,Zepter Slask Wroclaw,Anwil Wloclawek,4-1,Hoop-Pekaes Pruszkow
2000-01,Zepter Slask Wroclaw,Anwil Wloclawek,4-1,Prokom Trefl Sopot
2001-02,Idea Slask Wroclaw,Prokom Trefl Sopot,4-1,Stal Ostrow Wielkopolski
2002-03,Anwil Wloclawek,Prokom Trefl Sopot,4-2,Idea Slask Wroclaw
2003-04,Prokom Trefl Sopot,Idea Slask Wroclaw,4-1,Polonia Warszawa
2004-05,Prokom Trefl Sopot,Anwil Wloclawek,4-2,Polonia Warszawa
2005-06,Prokom Trefl Sopot,Anwil Wloclawek,4-1,Energa Czarni Slupsk
2006-07,Prokom Trefl Sopot,BOT Turow Zgorzelec,4-1,ASCO Slask Wroclaw
2007-08,Prokom Trefl Sopot,PGE Turow Zgorzelec,4-3,ASCO Slask Wroclaw
2008-09,Asseco Prokom Sopot,PGE Turow Zgorzelec,4-1,Anwil Wloclawek
2009-10,Asseco Prokom Gdynia,Anwil Wloclawek,4-0,Polpharma Starogard Gdanski
2010-11,Asseco Prokom Gdynia,PGE Turow Zgorzelec,4-3,Energa Czarni Slupsk
2011-12,Asseco Prokom Gdynia,Trefl Sopot,4-3,Zastal Zielona Gora
2012-13,Stelmet Zielona Gora,PGE Turow Zgorzelec,4-0,AZS Koszalin
2013-14,,,,
