Township,FIPS,Population center,Population,Population density /km2 (/sq mi),Land area km2 (sq mi),Water area km2 (sq mi),Water %,Geographic coordinates
Belleville,05575,,675,4 (11),155 (60),0 (0),0.14%,37deg3'50''N 96deg7'48''W / 37.06389degN 96.13000degW
Caneyville,10425,,88,1 (2),144 (55),1 (0),0.38%,37deg15'23''N 96deg27'27''W / 37.25639degN 96.45750degW
Center,11575,,75,1 (1),144 (56),1 (0),0.80%,37deg15'28''N 96deg18'31''W / 37.25778degN 96.30861degW
Harrison,30275,,114,1 (2),142 (55),0 (0),0.14%,37deg4'3''N 96deg26'32''W / 37.06750degN 96.44222degW
Hendricks,31300,,179,1 (3),142 (55),0 (0),0.05%,37deg1'12''N 96deg18'42''W / 37.02000degN 96.31167degW
Jefferson,35125,Cedar Vale,834,6 (15),144 (56),1 (0),0.45%,37deg6'45''N 96deg29'12''W / 37.11250degN 96.48667degW
Lafayette,37650,,65,0 (1),154 (59),2 (1),1.40%,37deg15'36''N 96deg10'20''W / 37.26000degN 96.17222degW
Little Caney,41525,,353,3 (8),117 (45),0 (0),0.31%,37deg3'51''N 96deg1'5''W / 37.06417degN 96.01806degW
Salt Creek,62775,,123,1 (3),127 (49),0 (0),0.34%,37deg15'13''N 96deg1'34''W / 37.25361degN 96.02611degW
Sedan,63775,Sedan,"1,660",13 (34),128 (49),1 (0),0.65%,37deg7'50''N 96deg11'6''W / 37.13056degN 96.18500degW
Summit,69025,,106,1 (2),144 (56),1 (0),0.40%,37deg8'17''N 96deg19'53''W / 37.13806degN 96.33139degW
Washington,75550,,87,1 (2),121 (47),1 (0),0.71%,37deg7'41''N 96deg0'52''W / 37.12806degN 96.01444degW
