Track number,Russian title,English title,Music,Lyrics
01,Ulybnis',Smile!,Vitas,D. Plachkovsky
02,Blazhennyi Guru,Blessed Guru,Vitas,Vitas
03,Voskovye figury,Wax Figures,Vitas,"D. Plachkovsky, Vitas, S. Pudovkin"
04,Plachet chuzhaia toska,Someone's Melancholy Is Crying,Vitas,D. Plachovsky
05,Ave Mariia,Ave Maria,Franz Schubert,Traditional prayer
06,Kholodnyi mir,The Cold World,V. Molchanov,D. Plachkovsky
07,Ostrov zatonuvshikh korablei,The Island Of Sunken Ships,O. Gazmanov,E. Nebylova
08,Fantasticheskie sny,Fantastic Dreams,Vitas,"Vitas, D. Plachkovsky"
09,Good-bye,Good-bye,Vitas,Vitas
10,Schast'e,Happiness,Vitas,Vitas
11,Ottsveli khrizantemy,Chrysanthemums Have Faded Out,N. Harito,V. Shumsky
12,Dozhd' v Tbilisi,Rain in Tbilisi,Vitas,Ratner
13,Slepoi khudozhnik,Blind Painter,Vitas,"D. Plachkovsky, Vitas, S. Pudovkin"
14,Milaia muzyka,Lovely Music,Vitas,Vitas
15,Belorussiia,Byelorussia,Alexandra Pakhmutova,N. Dobronravov
16,Do svidaniia,See You Later (Do Svidaniya),Vitas,Vitas
