Name,Parentage,Size,Flower colour,Flower type
Cornish Snow,cuspidata x saluenensis,04.0m2,white,single
Cornish Spring,cuspidata x saluenensis,04.0m2,pink,single
Francie L,reticulata x saluenensis,64.0m2,rose-pink,double
Freedom Bell,x williamsii,06.5m2,red,semi-double
Inspiration,reticulata x saluenensis,10.0m2,rose-pink,semi-double
Leonard Messel,reticulata x saluenensis,16.0m2,rose-pink,semi-double
Royalty,japonica x reticulata,01.0m2,light red,semi-double
Spring Festival,"x williamsii, cuspidata",10.0m2,pink,semi-double
Tom Knudsen,japonica x reticulata,06.3m2,deep red,double paeony
Tristrem Carlyon,reticulata,10.0m2,rose pink,double paeony
