Color & Icon,Name,Name,Mark,First section opened,Last ex- tension,Length,Stations
yellow,Higashiyama Line,Higashiyama Line,H,1957,1982,20.6 km (12.8 mi),22
purple,Meijo Line,Meijo Line,M,1965,1971,8.9 km (5.5 mi),12
purple,Meijo Line,Meijo Line,M,1974,2004,17.5 km (10.9 mi),17
purple & white,Meiko Line,Meiko Line,E,1971,-,6.0 km (3.7 mi),7
blue,Meitetsu Inuyama Line,Meitetsu Inuyama Line,-,1993,-,21.4 km (13.3 mi),13
blue,Tsurumai Line,Tsurumai Line,T,1977,1993,20.4 km (12.7 mi),20
blue,Meitetsu Toyota Line,Meitetsu Toyota Line,-,1979,-,15.2 km (9.4 mi),8
blue,Meitetsu Mikawa Line,Meitetsu Mikawa Line,-,N/A,-,1.4 km (0.87 mi),2
red,Sakura-dori Line,Sakura-dori Line,S,1989,2011,19.1 km (11.9 mi),21
pink,Meitetsu Komaki Line,Meitetsu Komaki Line,-,2003,-,18.3 km (11.4 mi),13
pink,Meitetsu Komaki Line,Meitetsu Komaki Line,-,2003,-,2.3 km (1.4 mi),2
pink,Kamiiida Line,Kamiiida Line,K,2003,-,0.8 km (0.50 mi),2
