Draw,Country,Language,Artist,Song,English translation,Place,Points
01,Spain,Spanish,Serafin Zubiri,Todo esto es la musica,All this is music,14,37
02,Belgium,French,Morgane,Nous,on veut des violons,We want violins,20
03,Israel,Hebrew,Dafna Dekel,Ze Rak Sport (zh rq spvrt),It's just sport,6,85
04,Turkey,Turkish,Aylin Vatankos,Yaz Bitti,Summer is over,19,17
05,Greece,Greek,Cleopatra,Olou Tou Kosmou I Elpida,,,
(Olou tou kosmou e Elpida),The whole world's hope,5,94,,,,
06,France,"French, Antillean Creole",Kali,Monte la rivie,Go up the river,8,73
07,Sweden,Swedish,Christer Bjorkman,I morgon ar en annan dag,Tomorrow is another day,22,9
08,Portugal,Portuguese,Dina,Amor d'agua fresca,Fresh water love,17,26
09,Cyprus,Greek,Evridiki,Teriazoume (Tairiazoume),We hit it off,11,57
10,Malta,English,Mary Spiteri,Little Child,-,3,123
11,Iceland,Icelandic,Heart 2 Heart,Nei eda ja,No or yes?,7,80
12,Finland,Finnish,Pave Maijanen,Yamma,yamma,-,23
13,Switzerland,French,Daisy Auvray,Mister Music Man,-,15,32
14,Luxembourg,Luxembourgish,Marion Welter & Kontinent,Sou frai,So free,21,10
15,Austria,German,Tony Wegas,Zusammen geh'n,Go together,10,63
16,United Kingdom,English,Michael Ball,One Step Out of Time,-,2,139
17,Ireland,English,Linda Martin,Why Me?,-,1,155
18,Denmark,Danish,Kenny Lubcke & Lotte Nilsson,Alt det som ingen ser,All the things that nobody sees,12,47
19,Italy,Italian,Mia Martini,Rapsodia,Rhapsody,4,111
20,FR Yugoslavia,Serbian,Extra Nena,Ljubim te pesmama,,,
(Ljubim te pesmama),I'm kissing you with songs,13,44,,,,
21,Norway,Norwegian,Merethe Troan,Visjoner,Visions,18,23
22,Germany,German,Wind,Traume sind fur alle da,Dreams are there for everyone,16,27
23,Netherlands,Dutch,Humphrey Campbell,Wijs me de weg,Show me the way,9,67
