Rank,Name,Height ft (m),Floors,Year,Coordinates,Notes
1,Ordway Building,404 (123),28,1970,37deg48'36''N 122deg15'51''W / 37.81000degN 122.26417degW,Tallest building in both Oakland and in the Bay Area outside of San Francisco; tallest building constructed in the 1970s
2,Kaiser Center,390 (119),28,1960,37deg48'32''N 122deg15'52''W / 37.80889degN 122.26444degW,Tallest building constructed in the 1960s
3,Lake Merritt Plaza,371 (113),27,1988,37deg48'27''N 122deg15'54''W / 37.80750degN 122.26500degW,Tallest building constructed in the 1980s
4,1111 Broadway,360 (110),24,1990,37deg48'10''N 122deg16'22''W / 37.80278degN 122.27278degW,Tallest building constructed in the 1990s
5,Kaiser Engineering Building,336 (102),25,1984,37deg48'21''N 122deg15'54''W / 37.80583degN 122.26500degW,
6,Clorox Building,330 (101),24,1976,37deg48'12''N 122deg16'20''W / 37.80333degN 122.27222degW,
7=,EM Harris State Office Building,328 (100),22,1998,37deg48'23''N 122deg16'24''W / 37.80639degN 122.27333degW,
7=,Ronald V. Dellums Federal Building South,328 (100),18,1994,37deg48'16''N 122deg16'29''W / 37.80444degN 122.27472degW,
7=,Ronald V. Dellums Federal Building North,328 (100),18,1994,37deg48'18''N 122deg16'28''W / 37.80500degN 122.27444degW,
10,Oakland City Hall,320 (98),14,1914,37deg48'19''N 122deg16'21''W / 37.80528degN 122.27250degW,Tallest building constructed in the 1910s; National Register of Historic Places
11,Tribune Tower,310 (94),22,1906,37deg48'11''N 122deg16'14''W / 37.80306degN 122.27056degW,Tallest building constructed in the 1920s
12,1330 Broadway,297 (91),21,1956-1959,37deg48'14''N 122deg16'14''W / 37.80389degN 122.27056degW,
13,Pacific Bell Building,296 (90),20,1985,37deg48'37''N 122deg15'57''W / 37.81028degN 122.26583degW,
14,555 City Center,279 (85),20,2002,37deg48'13''N 122deg16'31''W / 37.80361degN 122.27528degW,
15,Park Bellevue Tower,270 (82),25,1969,37deg48'28''N 122deg15'20''W / 37.80778degN 122.25556degW,
16,St. Paul's Towers,267 (81),22,1966,37deg48'42''N 122deg15'37''W / 37.81167degN 122.26028degW,
17,The Grand Apartments,263 (80),22,2008,37deg48'41''N 122deg15'53''W / 37.81139degN 122.26472degW,
18,Central Building,235 (72),15,1926,37deg48'15''N 122deg16'14''W / 37.80417degN 122.27056degW,
19,Bank of America Building,225 (69),18,1907,37deg48'10''N 122deg16'17''W / 37.80278degN 122.27139degW,Tallest building constructed in the decade of 1900
20,Financial Center Building,214 (65),14,1929,37deg48'13''N 122deg16'13''W / 37.80361degN 122.27028degW,
21,SBC Building,203 (62),15,--,37deg48'21''N 122deg16'08''W / 37.80583degN 122.26889degW,
