#,Name,Birth and death,Office started,Office ended
1,Geir Vidalin,27 October 1761 - 20 September 1823,1801,1823
2,Steingrimur Jonsson,,1824,1845
3,Helgi Thordersen,8 April 1794 - 4 December 1867,1846,1866
4,'Petur Petursson,3 October 1808 - 15 May 1891,1866,1889
5,Hallgrimur Sveinsson,5 April 1841 - 16 December 1909,1889,1908
6,Thorhallur Bjarnarson,2 December 1855 - 15 December 1916,1908,1916
7,Jon Helgason,1866 - 1942,1917,1939
8,Sigurgeir Sigurdsson,3 August 1890 - 13 October 1953,1939,1953
9,Asmundur Gudmundsson,6 October 1888 Reykholt - 29 May 1969 Reykjavik,1954,1989
10,Sigurbjorn Einarsson,30 June 1911 Vestur-Skaftafellssysla - 28 August 2008 Reykjavik,1959,1981
11,"Petur Sigurgeirsson (son of Sigurgeir Sigurdsson, 8th Bishop of Iceland)",2 June 1919 - 3 June 2010,1981,1989
12,Olafur Skulason,29 December 1929 - 9 June 2008,1989,1997
13,"Karl Sigurbjornsson (son of Sigurbjorn Einarsson, 10th Bishop of Iceland)",5 February 1947 Reykjavik,1998,2012
14,Agnes Sigurdardottir,19 October 1954 Isafjordur,24 June 2012,Incumbent
