Name,Location served,Governorate,Utilization,Helipads,Runways,Shelters,Squadrons,Coordinates
Abu al-Duhur Military Airbase,Abu al-Duhur,Aleppo,Military,0,1,20,678 Squadron MiG-23MS 2 Squadron L-39ZO ? Squadron L-39ZO,35deg43'55''N 37deg06'15''E / 35.73194degN 37.10417degE
Al-Qusayr Military Airbase,Al-Qusayr,Homs,Military,0,1,16,825 Squadron MiG-21Bis 826 Squadron Su-27SK (unconfirmed),34deg34'08''N 36deg34'22''E / 34.56889degN 36.57278degE
Al-Nasiriyah Military Airbase,Al-Nasiriyah,Damascus,Military,0,1,20,695 Squadron MiG-23BN/UB 698 Squadron MiG-23BN/UB,33deg55'08''N 36deg51'59''E / 33.91889degN 36.86639degE
Al-Nayrab Military Airbase,"Al-Nayrab, Aleppo",Aleppo,Military,,,,,36deg11'05''N 37deg12'57''E / 36.18472degN 37.21583degE
Tha'lah Military Airbase,Tha'lah,As-Suwayda,Military,0,1,16,765 Squadron Mi-25 766 Squadron Mi-25,32deg42'19''N 36deg24'46''E / 32.70528degN 36.41278degE
Al-Dumayr Military Airport,Al-Dumayr,Damascus,Military,0,1,52,67 Squadron MiG-23ML ? Squadron Su-22M-2,33deg36'35''N 36deg44'56''E / 33.60972degN 36.74889degE
Hama Military Airport,Hama,Hama,Military,10,1,20,679 Squadron MiG-21MF/UM 680 Squadron MiG-21MF/UM ? Squadron MiG-29,35deg07'05''N 36deg42'40''E / 35.11806degN 36.71111degE
Hamdan Military Airbase,Abu Kamal,Deir ez-Zor,Military,,,,,34deg28'55''N 40deg53'51''E / 34.48194degN 40.89750degE
Jirah Military Airbase,Jirah,Aleppo,Military,0,1,12,? Squadron L-39ZA,36deg05'48''N 37deg56'11''E / 36.09667degN 37.93639degE
Khalkhalah Military Airbase,Khalkhalah,As-Suwayda,Military,20,2,30,945 Squadron MiG-21Bis 946 Squadron MiG-21Bis,33deg03'40''N 36deg33'08''E / 33.06111degN 36.55222degE
Kowaires Military Airbase,Kowaires,Aleppo,Military Flight Training School,0,1,11,"3 Squadron L-39ZA, MBB 223 Flamingo",36deg11'13''N 37deg34'59''E / 36.18694degN 37.58306degE
Marj Ruhayyil Military Airbase,Marj Ruhayyil,Damascus,Military,26,1,24,54 Squadron MiG-23ML 77 Squadron MiG-23ML/UM 767 Squadron Mi-25,33deg17'11''N 36deg27'26''E / 33.28639degN 36.45722degE
Marj al-Sultan Military Heliport,Marj al-Sultan,Damascus,Military,35,1,0,525 Squadron Mi-8 Hip C/H 537 Squadron Mi-8 Hip C/H 909 Squadron (VIP) Mi-8 ? Squadron Mi-8 Hip H/J/K,33deg29'13''N 36deg28'31''E / 33.48694degN 36.47528degE 33deg30'01''N 36deg28'00''E / 33.50028degN 36.46667degE
Mezzeh Military Airport,Mezzeh,Damascus,Military,12,1,22,976 Squadron SA-324-L 977 Squadron SA-324-L,33deg28'39''N 36deg13'24''E / 33.47750degN 36.22333degE
Menagh Military Airbase,Menagh,Aleppo,Military Flight Training School,8,2,0,"4 Squadron Mi-8 Hip C, MBB 223 Flamingo",36deg31'17''N 37deg02'29''E / 36.52139degN 37.04139degE
Qabr al-Sitt Military Heliport,Beit Sahem,Rif Dimashq,Military,20,1,0,"532 Squadron Mi-2, Mi-8 Hip C/H",33deg27'30''N 36deg21'23''E / 33.45833degN 36.35639degE
Sayqal Military Airbase,Sayqal,Damascus,Military,0,2,44,697 Squadron MiG-29 698 Squadron MiG-29 699 Squadron MiG-29,33deg40'56''N 37deg12'50''E / 33.68222degN 37.21389degE
Shayrat Air Base,Shayrat,Homs,Military,0,2,40,675 Squadron MiG-23MF/UM 677 Squadron Su-22M-2 685 Squadron Su-22M-4,34deg29'24''N 36deg54'32''E / 34.49000degN 36.90889degE
Tabqa Military Airbase,Tabqa,Ar-Raqqah,Military,0,1,18,12 Squadron MiG-21MF/UM 24 Brigade Mi-8,35deg45'17''N 38deg34'00''E / 35.75472degN 38.56667degE
Taftanaz Military Airbase,Taftanaz,Idlib,Military,48,1,0,253 Squadron Mi-8 Hip C/H 255 Squadron Mi-8 Hip C/H,35deg58'20''N 36deg46'59''E / 35.97222degN 36.78306degE
Tiyas Military Airbase,Tiyas,Homs,Military,0,1,60,1 Squadron MiG-25PD/PU/RB 5 Squadron MiG-25PD/PU/RB 819 Squadron Su-24MK 827 Squadron Su-22M-4,34deg31'21''N 37deg37'47''E / 34.52250degN 37.62972degE
