No.,Name,Public Access,Location & map links,Area Ha,Area Acres,References
1,Aversley Wood,,52deg25'25''N 0deg17'28''W / 52.4236degN 0.2911degW     TL163820,61,151,SSSI WT
2,Balsham Wood,,52deg07'19''N 0deg19'11''E / 52.1219degN 0.3196degE     TL589496,35,85,SSSI
3,Bedford Purlieus NNR,,52deg35'00''N 0deg27'49''W / 52.5833degN 0.4635degW     TL042995,208,514,SSSI NNR FC
4,Brampton Wood,,52deg19'02''N 0deg16'13''W / 52.3172degN 0.2703degW     TL180702,132,326,SSSI BCNPWT
5,Buff Wood,,52deg08'10''N 0deg07'36''W / 52.1361degN 0.1268degW     TL283503,16,39,SSSI BCNPWT
6,Carlton Wood,,52deg09'02''N 0deg24'58''E / 52.15051degN 0.4161degE     TL654530,10,25,SSSI
7,Gamlingay Wood,,52deg09'57''N 0deg11'08''W / 52.1658degN 0.1855degW     TL242535,46,114,SSSI BCNPWT
8,Hardwick Wood,,52deg11'57''N 0deg01'13''W / 52.1991degN 0.0203degW     TL354575,17,42,SSSI BCNPWT
9,Hayley Wood,,52deg09'33''N 0deg06'51''W / 52.1593degN 0.1141degW     TL291529,52,129,SSSI BCNPWT
10,Kingston Wood and Outliers,,52deg10'06''N 0deg03'50''W / 52.1684degN 0.064degW     TL325540,49,121,SSSI
11,Langley Wood,,52deg03'24''N 0deg20'33''E / 52.0567degN 0.3424degE     TL607424,31,77,SSSI
12,Little Paxton Wood,,52deg15'26''N 0deg17'14''W / 52.2572degN 0.2872degW     TL170635,45,111,SSSI
13,Madingley Wood,,52deg13'00''N 0deg02'57''E / 52.2168degN 0.0493degE     TL401596,15,38,SSSI
14,Monks Wood NNR,,52deg24'18''N 0deg14'15''W / 52.4049degN 0.2375degW     TL200800,170,420,SSSI NNR
15,Out and Plunder Woods,,52deg10'03''N 0deg25'33''E / 52.1674degN 0.4258degE     TL660549,28,69,SSSI
16,Over and Lawn Woods,,52deg06'35''N 0deg23'15''E / 52.1097degN 0.3876degE     TL636484,45,111,SSSI
17,Perry Woods,,52deg17'06''N 0deg20'15''W / 52.2849degN 0.3375degW     TL135665,67,165,SSSI
18,Ten Wood,,52deg10'31''N 0deg25'56''E / 52.1754degN 0.4321degE     TL664558,17,42,SSSI
19,Thorpe Wood,,52deg34'22''N 0deg17'28''W / 52.5729degN 0.2912degW     TL159986,12,28,SSSI BCNPWT
20,Warboy's And Wistow Woods,,52deg25'11''N 0deg05'18''W / 52.4196degN 0.0883degW     TL301819,42,103,SSSI
21,Waresley Wood,,52deg10'37''N 0deg09'21''W / 52.177degN 0.1558degW     T 262548,62,153,SSSI
22,Weaveley and Sand Woods,,52deg10'21''N 0deg12'31''W / 52.1724degN 0.2086degW     TL226542,76,188,SSSI
23,West Abbot's and Lound Woods,,52deg35'54''N 0deg26'11''W / 52.5983degN 0.4364degW     TF060012,51,126,SSSI
