Year,Final,Year,Final,Semi,Year,Final,Semi
2001,Relegated,2001,Relegated,No semi-finals,2001,Relegated,No semi-finals
2002,Spain,2002,Spain,No semi-finals,2002,Spain,No semi-finals
2003,Relegated,2003,Relegated,No semi-finals,2003,Relegated,No semi-finals
2004,Serbia and Montenegro,2004,Serbia and Montenegro,Serbia and Montenegro,2004,Serbia and Montenegro,Serbia and Montenegro
2005,Serbia and Montenegro,2005,Serbia and Montenegro,Portugal,2005,Serbia and Montenegro,Portugal
2006,Bosnia and Herzegovina,2006,Bosnia and Herzegovina,Bosnia and Herzegovina,2006,Bosnia and Herzegovina,Bosnia and Herzegovina
2007,Serbia,2007,Serbia,Serbia,2007,Serbia,Serbia
2008,Serbia,2008,Serbia,Portugal,2008,Serbia,Portugal
2009,Turkey,2009,Turkey,Turkey,2009,Turkey,Turkey
2010,Germany,2010,Germany,Ireland,2010,Germany,Ireland
2011,Bosnia and Herzegovina,2011,Bosnia and Herzegovina,Serbia,2011,Bosnia and Herzegovina,Serbia
2012,Albania,2012,Albania,Albania,2012,Albania,Albania
2013,Italy,2013,Italy,Hungary,2013,Italy,Hungary
