Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s)
1st,1983,Tommy Persson (SWE),--,--,--
2nd,1984,Steven Marwa (TAN),--,--,--
3rd,1985,Savio d'Souza (IND),1:24:10,Asha Agarwal (IND),1:24:10
4th,1986,Savio d'Souza (IND),1:17:09,Karolina Szabo (HUN),1:17:09
5th,1987,Francois Blommaerts (BEL),1:21:54,Suman Rawat (IND),1:21:54
6th,1989,Yeshwant Singh Rawat (IND),2:58:39,Sunita Godhara (IND),2:58:39
7th,1990,Shivkumar Yadav (IND),1:17:42,Nanda Jadhav (IND),1:17:42
8th,1991,Vithana Samarasinghe (SRI),2:57:34,Nanda Jadhav (IND),2:57:34
9th,1992,Shivkumar Yadav (IND),2:51:01,Suman Mehta (IND),2:51:01
10th,1993,Robert Nolan (AUS),2:47:46,Vally Sathyabhama (IND),2:47:46
11th,1994,Joshua Kipkemboi (KEN),1:17:19,Midde Hamrin (SWE),1:17:19
12th,1996,Joseph Kahugu (KEN),?,Lukose Leelamma (IND),?
13th,1997 (Jan),Abhay Singh (IND),1:20:00,Camilla Benjaminsson (SWE),1:20:00
14th,1997 (Dec),My Tahar Echchadli (MAR),1:16:42,Zahra Akrachi (MAR),1:16:42
15th,1999,Zablon Mokaya (KEN),1:29:49,Lyubov Fyodorova (RUS),1:29:49
16th,2000,Fedor Ryzhov (RUS),1:18:10,Margaret Ngotho (KEN),1:18:10
17th,2002,Ambrose Makau (KEN),1:15:52,Natalya Volgina (RUS),1:15:52
18th,2003,Robert Kipyego (KEN),1:13:49,Masila Ndunge (KEN),1:13:49
19th,2004,Douglas Gwandaru (KEN),1:11:59,Jane Muia (KEN),1:11:59
20th,2005,Josephat Ndeti (KEN),1:15:05,Nailiya Yulamanova (RUS),1:15:05
21st,2006,Said Regragui (SWE),1:13:20,Hellen Musyoka (KEN),1:13:20
22nd,2007,Philip Makau Muia (KEN),1:11:30.4,Roman Gebregessese (ETH),1:11:30.4
23rd,2008,Nelson Kirwa Rotich (KEN),1:10:17,Caroline Kilel (KEN),1:10:17
24th,2009,Augustine Rono Sembri (KEN),1:10:30,Agnes Katunga Mutune (KEN),1:10:30
25th,2010,Gudeta Gemechu Biratu (ETH),2:38:41,Birzaf Gebre Tekele (ETH),2:38:41
26th,2011,Teferi Regasa (ETH),1:12:29,Pauline Mutwa Thitu (KEN),1:12:29
27th,2012,Luka Kipkemoi Chelimo (KEN),1:08:37,Pauline Kavere Kamulu (KEN),1:08:37
