Township,FIPS,Population,Population density /km2 (/sq mi),Land area km2 (sq mi),Water area km2 (sq mi),Water %,Geographic coordinates
Alta,01500,221,2 (6),93 (36),0 (0),0.48%,38deg7'27''N 97deg38'44''W / 38.12417degN 97.64556degW
Burrton,09600,"1,143",12 (32),93 (36),0 (0),0.17%,38deg1'32''N 97deg39'55''W / 38.02556degN 97.66528degW
Darlington,17025,601,7 (17),92 (35),0 (0),0.10%,37deg57'5''N 97deg19'32''W / 37.95139degN 97.32556degW
Emma,21025,"4,181",45 (116),93 (36),0 (0),0%,38deg8'10''N 97deg25'46''W / 38.13611degN 97.42944degW
Garden,25300,294,3 (8),93 (36),0 (0),0%,38deg7'44''N 97deg32'14''W / 38.12889degN 97.53722degW
Halstead,29625,353,4 (10),92 (35),0 (0),0.07%,38deg2'9''N 97deg31'51''W / 38.03583degN 97.53083degW
Highland,31875,415,5 (12),92 (35),0 (0),0.19%,38deg7'38''N 97deg19'9''W / 38.12722degN 97.31917degW
Lake,37825,173,2 (5),92 (36),1 (0),1.05%,37deg57'46''N 97deg39'7''W / 37.96278degN 97.65194degW
Lakin,38150,357,4 (10),92 (35),0 (0),0.06%,37deg57'18''N 97deg32'20''W / 37.95500degN 97.53889degW
Macon,43925,"1,056",11 (30),92 (36),0 (0),0%,38deg2'8''N 97deg24'58''W / 38.03556degN 97.41611degW
Newton,50500,"1,950",28 (73),69 (27),0 (0),0.07%,38deg3'27''N 97deg19'31''W / 38.05750degN 97.32528degW
Pleasant,56250,439,5 (12),93 (36),1 (0),0.81%,38deg2'27''N 97deg12'8''W / 38.04083degN 97.20222degW
Richland,59350,360,4 (10),94 (36),0 (0),0.20%,37deg57'39''N 97deg12'1''W / 37.96083degN 97.20028degW
Sedgwick,63825,"1,711",18 (48),93 (36),0 (0),0%,37deg56'24''N 97deg25'22''W / 37.94000degN 97.42278degW
Walton,75225,552,6 (15),95 (37),0 (0),0.06%,38deg7'26''N 97deg13'1''W / 38.12389degN 97.21694degW
