Week,Date,Song title,Performer,Album title,Performer
1,3 January 2014,Timber,Avicii,True,Avicii
2,10 January 2014,Timber,Avicii,True,Avicii
3,17 January 2014,I See Fire,Bruce Springsteen,High Hopes,Bruce Springsteen
4,24 January 2014,I See Fire,Bruce Springsteen,High Hopes,Bruce Springsteen
5,31 January 2014,I See Fire,Avicii,True,Avicii
6,7 February 2014,I See Fire,Christer Sjogren,Sjunger Sinatra,Christer Sjogren
7,14 February 2014,I See Fire,Christer Sjogren,Sjunger Sinatra,Christer Sjogren
8,21 February 2014,I See Fire,Avicii,True,Avicii
9,28 February 2014,I See Fire,Avicii,True,Avicii
10,7 March 2014,Busy Doin' Nothin',Avicii,True,Avicii
11,14 March 2014,Busy Doin' Nothin',Avicii,True,Avicii
12,21 March 2014,Busy Doin' Nothin',Takida,All Turns Red,Takida
13,28 March 2014,Busy Doin' Nothin',Yohio,Together We Stand Alone,Yohio
