Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s),Finishers
1996,Zoltan Kaldy (HUN),1:11:11,Simona Staicu (HUN),1:11:11,1768
1997,Keita Fujino (JPN),1:11:04,Sachie Ozaki (JPN),1:11:04,2535
1998,Seiji Hamada (JPN),1:10:37,Kazumi Kanbayashi (JPN),1:10:37,2703
1999,Takaki Morikawa (JPN),1:12:15,Tomoko Tamamushi (JPN),1:12:15,3422
2000,Piotr Gladki (POL),1:10:17,Mihaela Botezan (ROM),1:10:17,4024
2001,Sreten Ninkovic (YUG),1:13:33,Beata Rakonczai (HUN),1:13:33,3912
2002,William Kipsang (KEN),1:13:39,Beata Rakonczai (HUN),1:13:39,4403
2003,Miklos Zatyko (HUN),1:11:08,Aniko Kalovics (HUN),1:11:08,4470
2004,Sreten Ninkovic (SCG),1:11:18,Aniko Kalovics (HUN),1:11:18,4601
2005,Andras Juhasz (HUN),1:16:10,Eszter Erdelyi (HUN),1:16:10,5466
2006,Barnabas Bene (HUN),1:10:46,Aniko Kalovics (HUN),1:10:46,4964
2007,Balazs Ott (HUN),1:12:09,Krisztina Papp (HUN),1:12:09,5020
2008,Roberto Pasquale Rutigliano (ITA),1:14:38,Beata Rakonczai (HUN),1:14:38,4930
2009,Erkolo Ashenafi (ETH),1:15:27,Krisztina Papp (HUN),1:15:27,4848
2010,Laszlo Toth (HUN),1:13:13,Krisztina Papp (HUN),1:13:13,5520
2011,Tamas Kovacs (HUN),1:15:04,Aniko Kalovics (HUN),1:15:04,6203
2012,Gabor Jozsa (HUN),1:15:07,Krisztina Papp (HUN),1:15:07,6751
2013,Henry Kemboi (KEN),1:12:32,Krisztina Papp (HUN),1:12:32,7436
