Face Value,EUR0.01,EUR0.02,EUR0.05,EUR0.10,EUR0.20,EUR0.50,EUR1.00,EUR2.00
2002,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
2003,***,***,***,***,***,***,***,***
2004,***,***,***,***,***,***,***,***
2005,***,***,***,***,***,***,***,***
2005 SV,***,***,***,***,***,***,***,***
2006,***,***,***,***,***,***,***,***
2007,***,***,***,***,***,***,***,***
2008,"6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400"
2009,"6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400"
2010,"6,000","6,000","6,000","6,000","6,000","2,190,704","6,000","6,000"
2011,"6,000","6,000","6,000","6,000","6,000","2,174,197","6,000","6,000"
2012,"6,000","6,000","6,000","6,000","6,000","1,604,690","6,000","6,000"
