No.,Date,Tournament,Surface,Partnering,Opponent in the final,Score
1.,"September 13, 2010",Ecuador F2,Hard,Roberto Quiroz,Peter Aarts  Christopher Racz,"6-4, 6-4"
2.,"April 4, 2011",Chile F2,Clay,Sergio Galdos,Guillermo Hormazabal  Rodrigo Perez,"5-7, 7-6(5), [10-5]"
3.,"April 11, 2011",Chile F3,Clay,Roberto Quiroz,Luis David Martinez  Miguel Angel Reyes-Varela,"6-4, 7-5"
4.,"August 8, 2011",Peru F1,Clay,Sergio Galdos,Martin Cuevas  Guido Pella,"6-4, 6-0"
5.,"August 5, 2012",Manta,Hard,Renzo Olivo,Victor Estrella  Joao Souza,"6-3, 6-0"
6.,"August 20, 2012",Colombia F2,Clay,Ariel Behar,Nicolas Barrientos  Michael Quintero,2-1 Ret.
7.,"August 26, 2012",Ecuador F3,Clay,Sergio Galdos,Mauricio Echazu  Guillermo Rivera-Aranguiz,"6-2, 6-1"
8.,"October 8, 2012",Chile F8,Clay,Gustavo Sterin,Cristobal Saavedra-Corvalan  Guillermo Rivera-Aranguiz,"6-4, 7-5"
9.,"May 13, 2013",Argentina F6,Clay,Sergio Galdos,Franco Agamenone  Jose Angel Carrizo,"4-6, 6-4, [10-1]"
10.,"May 27, 2013",Argentina F8,Clay,Sergio Galdos,Daniel Dutra da Silva  Pablo Galdon,"6-0, 7-5"
