Week #,Theme,Song Choice,Original Artist,Order #,Result
Audition,Auditioner's Choice,Tempos Modernos,Lulu Santos,N/A,Advanced
Theater,First Solo,A Sombra Da Maldade,Cidade Negra,N/A,Advanced
Top 30,Semi-Final/Group 3,Noite Do Prazer,Claudio Zoli,10,Advanced
Top 10,My Idol,Paraiso,Claudio Zoli,6,Safe
Top 9,Male Singers,Ultimo Romantico,Lulu Santos,8,Safe
Top 8,Female Singers,Lanterna dos Afogados,Cassia Eller,1,Safe
Top 7,Birth Year Songs,Frisson,Tunai,4,Safe
Top 6,Jovem Pan Hits,Do Seu Lado,Jota Quest,6,Safe
Top 5,Jovem Guarda,O Bom,Eduardo Araujo,3,Safe
Top 5,Jovem Guarda,Vem Me Ajudar,The Fevers,8,Safe
Top 4,Brazil Regional,Eva,Radio Taxi,3,Safe
Top 4,Brazil Regional,Admiravel Gado Novo,Ze Ramalho,7,Safe
Top 3,Contestant's Choice,As Sete Vampiras,Leo Jaime,2,Safe
Top 3,Contestant's Choice,Eu Me Rendo,Fabio Junior,5,Safe
Top 2,Winner's Single,Deixo A Voz Me Levar,Leandro Lopes,2,Winner
Top 2,Challenging Songs,Queixa,Caetano Veloso,4,Winner
Top 2,Judge's Choice,Quero Te Encontrar,Kid Abelha,6,Winner
Top 2,Best of the Season,Paraiso,Claudio Zoli,8,Winner
Top 2,Celebrity Duet,Admiravel Gado Novo,,,
with Ze Ramalho,Ze Ramalho,10,Winner,,
