,Wine,Rank,Beer,Rank,Spirits,Rank,Total,Rank|
Yukon,18.3,1,90.6,1,13.8,1,12.7,1
Northwest Territories,8.1,2,55.2,2,10.8,2,9.2,2
Alberta,13.9,9,89.8,9,7.6,9,8.6,3
Newfoundland & Labrador,6.5,10,93.3,10,7.3,10,8.0,4
British Columbia,14.5,7,76.6,7,9.0,7,7.8,5
Ontario,11.8,8,84.3,8,8.8,8,7.8,6
Quebec,17.4,12,93.9,12,4.1,12,7.8,7
Prince Edward Island,7.4,3,78.9,3,9.7,3,7.5,8
Nova Scotia,8.0,5,79.5,5,9.1,5,7.5,9
Manitoba,8.0,4,76.8,4,9.4,4,7.4,10
Saskatchewan,5.0,6,76.8,6,9.1,6,7.0,11
New Brunswick,8.4,11,79.8,11,6.8,11,6.7,12
Nunavut,Data unavailable,Data unavailable,Data unavailable,Data unavailable,Data unavailable,Data unavailable,Data unavailable,Data unavailable
Canada,13.1,,85.6,,7.5,,7.8,
