Pos.,Driver,Co-Driver,Car,Time
1,Giandomenico Basso,Lorenzo Granai,Peugeot 207 S2000,2h28m50.8s
2,Bruno Magalhaes,Nuno R. Silva,Peugeot 207 S2000,+07.3s
3,Miguel Nunes,Joao Paulo,Mitsubishi Lancer X R4,+ 3m30.8s
4,Pedro Meireles,Mario Castro,Skoda Fabia S2000,+3m42.5s
5,Luca Betti,Francesco Pezzoli,Ford Fiesta S2000,+4m04.1s
6,Filipe Freitas,Daniel Figueiroa,Mitsubishi Lancer X R4,+5m36s
7,Filipe Pires,Vasco Rodrigues,Mitsubishi Lancer X,+9m11.2s
8,Luis Serrado,Joao Sousa,Peugeot 206 S1600,+10m53.7s
9,Jose Camacho,Fernando Spinola,Peugeot 206 S1600,+13m08.3s
10,Rui Conceicao,Duarte Coelho,Ford Escort Cosworth,+16m50.1s
