,Poetry Prize,Poetry Accessit(s),Honourable Mention(s),Prose Prize,Prose Accessit(s),Honourable Mention(s)
1st Edition (1996),Agustin Hermida Castro,,,Beatriz Pineiro Calvo,Sechu Sende,
2nd Edition (1997),Modesto Fraga Moure,Roberto X. Traba Velay,,Marco V. Lama del Corral,Rosa Aneiros Diaz; Pedro Rielo Lamela,
3rd Edition (1998),Antonio Esteban Gonzalez Alonso,Jose Ricardo Velez Vazquez,,Xabier Castro Garcia,,
4th Edition (1999),Roberto X. Traba Velay,,,Beatriz Pineiro Calvo,,
5th Edition (2000),Baldomero Iglesias Dobarrio,Unai Gonzalez Suarez,,Jaime Naveria Pedreira,,
6th Edition (2001),Manuel Terrin Benavides,Baldomero Iglesias Dobarrio,,Franciso Calo Lourido,Pedro Uris Escolano,
7th Edition (2002),Simon Iglesias Posse,Salvador Moreno Perez ; Estibaliz Espinosa Rio,,Xose Nicanor Alonso Alvarez,Xaime Naveira Pedreira,
8th Edition (2003),Salvador Moreno Perez ; Alexandre Nerium (shared prize),Francisco Pineiro Gonzalez,,Xaime Dominguez Toxo,Xoan Xose Garcia Lopez,
9th Edition (2004),Maria Goretti Farina Caamano,Manuel Luque Tapia ; Maria Rey Torrente,,Francisco Pineiro Gonzalez,Vicente Javier Garcia Gomez ; Andres Albuerne de Frutos,
10th Edition (2005),Maria Teresa Nunez Gonzalez,Amadeo Cobas ; Unai Gonzalez Suarez,,Francisco Pineiro Gonzalez,Julio Romero Suarez Maria ; Teresa Lopez de la Fuente ; Domingo A. Martinez Martin,
11th Edition (2006),Restituto Nunez Cobos,Juan Lorenzo Collado Gomez ; Alba Cid Fernandez ; Isabel Oliver Gonzalez,,Francisco Rozados Rivas,Juan Lorenzo Collado Gomez ; Francisco Pineiro Gonzalez,
12th Edition (2007),Carmen Carames Gorgal,Alfredo Macias Macias ; Manuel Luque Tapia,,Rafael Laso Lorenzo,Francisco Pineiro Gonzalez ; Ivan Garcia Campos,
13th Edition (2008),Feliciano Ramos Navarro,Jose M. Lopez Calo ; Cristalina Lopez Rodriguez,,Moises Alvarez Jorge,Carmen Cuevas Crespo ; Julio Romero Suarez,
14th Edition (2009),Alba Cid Fernandez,Sara Castelar Lorca ; Ma Isabel Gomez Arto,,Alberto Rodriguez Diaz,Juan Jose Ruiz Monino ; Isabel Julian Quiroga,
15th Edition (2010),Emma Pedreira,Manuel Garcia Diaz Pintado ; Rosa Pineiro Farina,,Pepe Pol,Noa Maria Carballa Rivas ; Mercedes Blanco Iglesias,
16th Edition (2011),Beatriz Lorenzo,Jose Maria Calo ; Pablo Nunez Gonzalez ; Marcial Gonzalez Vigo,,Xose Manuel Dopazo Mella,Noa Maria Carballa Rivas ; Mercedes Blanco Iglesias,
17th Edition (2012),Jose Antonio Repeto Gonzalez,Xose Otero Canto ; Marcial Gonzalez Vigo,Sofia Rodriguez Suarez ; Marcos Dios Almeida,Erick Hernandez Mora,Pepe Pol ; Xaime Dominguez Toxo,Sofia Rodriguez Suarez ; Marcos Dios Almeida
18th Edition (2013),Ramon Sandoval Perez,Luis Garcia Perez ; Jacobo Llamas Martinez,Jose Angel Corral Suarez ; Antonio Garrigo Jimenez,Manrique Fernandez Vazquez,Xose Farruco Grana Rama ; Jose Luis Hernandez Garvi,Jose Angel Corral Suarez ; Antonio Garrigo Jimenez
