Date,Pos.,Name,From,Fee
27 June 2007,DF,Aaron Hughes,Aston Villa,"PS1,000,000"
5 July 2007,MF,Steven Davis,Aston Villa,"PS4,000,000"
9 July 2007,FW,Diomansy Kamara,West Bromwich Albion,"PS6,000,000"
12 July 2007,DF,Chris Baird,Southampton,"PS3,035,000"
13 July 2007,FW,David Healy,Leeds United,"PS1,500,000"
13 July 2007,DF,Paul Konchesky,West Ham,"PS3,250,000"
19 July 2007,MF,Lee Cook,QPR,"PS2,500,000"
4 August 2007,MF,Adrian Leijer,Melbourne Victory,Undisclosed
8 August 2007,DF,Hameur Bouazza,Watford,"PS3,000,000"
23 August 2007,GK,Kasey Keller,Borussia Monchengladbach,Free
30 August 2007,DF,Nathan Ashton,Unattached,Free
31 August 2007,FW,Shefki Kuqi,Crystal Palace,Loan
31 August 2007,MF,Danny Murphy,Tottenham Hotspur,Loan
31 August 2007,MF,Seol Ki-Hyeon,Reading,Undisclosed
31 August 2007,DF,Dejan Stefanovic,Portsmouth,"PS1,000,000"
