Year,English Title,Chinese Title,Director,Role
1933,Twenty-Four Hours in Shanghai,Shang Hai Er Shi Si Xiao Shi,Shen Xiling,
1937,Street Angel,Ma Lu Tian Shi,Yuan Muzhi,Xiao Chen
1937,Crossroads,Shi Zi Jie Tou,Shen Xiling,Zhao
1947,Far Away Love,Yao Yuan De Ai,Chen Liting,Xiao Yuanxi
1947,Rhapsody of Happiness,Xing Fu Kuang Xiang Qu,Chen Liting,
1949,Crows and Sparrows,Wu Ya Yu Ma Que,Zheng Junli,Little Broadcast
1949,Women Side by Side,Li Ren Xing,Chen Liting,Zhang Yuliang
1950,The Life of Wu Xun,Wu Xun Chuan,Sun Yu,Wu Xun
1951,The Married Couple,Wo Men Fu Fu Zhi Jian,Zheng Junli,
1956,Li Shizhen,Li Shi Zhen,Shen Fu,Li Shizhen
1958,Lin Zexu,Lin Ze Xu,Zheng Junli,Lin Zexu
1959,Nie Er,Nie Er,Zheng Junli,Nie Er
