,Chinese,Pinyin,Cantonese Yale,Hakka pinjim
^ Ma Ling-Yee,Ma Zhu Er,Ma Ninger,Ma5 Ning4 Yi4,
^ Fung Do-Dak,Feng Dao De,Feng Daode,Fung4 Dou6 Dak1,
^ Gwong Wai,Guang Hui Chan Shi,Guang Hui Chan Shi,Gwong2 Wai6 Sim3 Si1,
^ Juk Faat Wan,Zhu Fa Yun Chan Shi,Zhu Fa Yun Chan Shi,Juk1 Faat3 Wan4 Sim3 Si1,
^ Fung Foh Do Yan,Feng Huo Dao Ren,Feng Huo Dao Ren,Fung1 Fo2 Dou6 Yan4,
^ Lau Siu-Leung,Liu Shao Liang,Liu Shaoliang,Lau4 Siu2 Leung4,
^ Shek Lam,Shi Lin,Shi Lin,Sek6 Lam4,Shak8 Lam2
^ Wanderer Style,Liu Min Pai,Liumin Pai,Lau4 man4 Paai1,Liu2 min2 Pai5
^ Lei Mung,Li Meng,Li Meng,Lei5 Mung4,Li3 Mung2
^ Lin Sang,Lian Sheng,Lian Sheng,Lin4 Sang1,Len2 Sang1
