County,km,Intersecting road,Notes,Coordinates
Rocky View County,0,"Hwy 772 (Symons Valley Road), Range Road 22",North to Madden South to Sage Hill & Evanston,51deg13'4''N 114deg9'52''W / 51.21778degN 114.16444degW
Rocky View County,3,"Panorama Road (24 Street NW), Range Road 15",South to Evanston,51deg12'45''N 114deg7'5''W / 51.21250degN 114.11806degW
Rocky View County,5,"14 Street NW, Range Road 14",South to Panorama Hills,51deg12'45''N 114deg5'41''W / 51.21250degN 114.09472degW
Rocky View County,7,"Centre Street N, Range Road 13",Formerly Highway 782 South to Coventry Hills,51deg12'45''N 114deg4'17''W / 51.21250degN 114.07139degW
Rocky View County,10,"15 Street NE (Calgary), 8 Street (Airdrie), Range Road 11",Balzac South to Stony Industrial,51deg12'45''N 114deg1'29''W / 51.21250degN 114.02472degW
Rocky View County,11,"Hwy 2, Range Road 10, Fifth Meridian, 114deg Longitude",Grade separated North to Airdrie South to Deerfoot Trail,51deg12'45''N 114deg0'5''W / 51.21250degN 114.00139degW
Rocky View County,13,"Range Road 293, 36 Street NE",CrossIron Mills Shopping Centre South to Stony Industrial,51deg12'45''N 113deg58'54''W / 51.21250degN 113.98167degW
Rocky View County,18,"Range Road 290, 84 Street NE",,51deg12'45''N 113deg54'43''W / 51.21250degN 113.91194degW
Rocky View County,28,"Hwy 791, Range Road 280",South to Delacour,51deg12'45''N 113deg46'21''W / 51.21250degN 113.77250degW
Rocky View County,32,Range Road 273,Kathyrn,51deg12'45''N 113deg42'10''W / 51.21250degN 113.70278degW
Rocky View County,34,"Hwy 9, Range Road 272",North to Irricana South to Langdon,51deg12'45''N 113deg40'44''W / 51.21250degN 113.67889degW
Rocky View County,36,"1 Avenue, Range Road 271",Keoma,51deg12'45''N 113deg39'3''W / 51.21250degN 113.65083degW
