,Episode title,Romanized title,Translation of title,Broadcast date,Ratings
Ep. 1,Er Tong Nue Dai karanoTuo Chu  Du riNiao ninatsutaEr Ren,Jido gyakutai kara no dasshutsu wataridori ni natta ni-nin,"Escape from child abuse, the two who became birds of passage",14 April 2010  5 August 2011  8 August 2011,11.8%
Ep. 2,Ju Chang Suo nonaiEr Ren,Ibasho no nai ni-nin,The two without a place to go,21 April 2010  12 August 2011  15 August 2011,12.0%
Ep. 3,Mu noShou nonukumori,Haha no te no nukumori,The warmth of a mother's hand,28 April 2010  19 August 2011  22 August 2011,12.8%
Ep. 4,Xue Xiao heXing kasetai,Gakko e ika setai,I want to let her attend school,5 May 2010  26 August 2011  29 August 2011,10.0%
Ep. 5,Er Ren noMu Qin ,Ni-nin nohahaoya,Two Mothers,12 May 2010  2 September 2011  5 September 2011,11.9%
Ep. 6,sayonaraoMu san,Sayonara okasan,Goodbye Mother,19 May 2010  9 September 2011  12 September 2011,13.9%
Ep. 7,anoZi woFan shite!,Ano ko o kaeshite!,Return her to me!,26 May 2010  16 September 2011  19 September 2011,12.4%
Ep. 8,Duan chiQie renaiBan,Tachikirenai kizuna,The bond that can't be broken,2 June 2010  23 September 2011  26 September 2011,14.0%
Ep. 9,Yin kiLie kareruEr Ren,Hikisaka reru ni-nin,The two torn apart,9 June 2010  30 September 2011  3 October 2011,12.2%
Ep. 10,hitoMu Hui itai,Hitome aitai,I want to see you just once,16 June 2010  7 October 2011  10 October 2011,14.8%
Ep. 11,zutsutoAi shiteru,Zutto aishi teru,I will always love you,23 June 2010  14 October 2011  17 October 2011,16.3%
