Name,Date,Condition,Ownership / Access,Notes
Chateau d'Angers,13th century,Substantially intact,City of Angers,"Walls nearly 2,000 feet (610 m) in circumference, incorporating 17 towers originally 130 feet (40 m) high."
Chateau de Bauge,15th century,Intact,,Built as hunting lodge.
Chateau de Bourmont,16-19th century,Intact and extended,Private,Extended in Neo-Gothic style
Chateau de Brissac,15-17th century,Rebuilt,Private,"Damaged during French Wars of Religion, rebuilt 1611 in baroque style."
Chateau de Champtoce,13-16th century,Ruins,,
Chateau de Montreuil-Bellay,11-13th century,Substantially intact,Private,"Divided into rental units in 1822, restored after 1860."
Chateau de Montsoreau,1455,Restored,Departement,"Ruinous by late 19th century, restored, houses the Musee des Goums Marocains."
Chateau du Plessis-Bourre,1468-1472,Intact,Private (open to the public),"Externally unchanged since the 15th century, working drawbridge."
Chateau du Plessis-Mace,13-16th century,Intact,,Converted to house 15th century.
Chateau de Pouance,12-13th century,Ruins,,"Considered second fortress of Anjou, after Angers."
Chateau de Saumur,12th century,Restored,City of Saumur,Page for September in the Tres Riches Heures du Duc de Berry depicts the Chateau as it looked in 1410.
Chateau de la Turmeliere,13th century,Ruins,,19th century building of same name nearby.
