Position,Nation,Number,Name,Soproni Liga,UEFA Cup,Hungarian Cup,League Cup,Total
1,,14,Gergely Rudolf,16,3,0,0,19
2,,41,Lorant Olah,12,1,0,0,13
3,,99,Omagbemi Dudu,4,1,5,0,10
4,,55,Peter Szakaly,9,0,0,0,9
5,,77,Peter Czvitkovics,7,0,0,0,7
6,,4,Leandro de Almeida,5,0,1,0,6
7,,17,Norbert Meszaros,3,0,0,0,3
8,,8,Zsombor Kerekes,1,0,2,0,3
9,,10,Igor Bogdanovic,0,0,3,0,3
10,,2,Istvan Szucs,2,0,0,0,2
11,,30,Zoltan Kiss,2,0,0,0,2
12,,23,Peter Szilagyi,2,0,0,0,2
13,,7,Tibor Dombi,2,0,0,0,2
14,,13,Peter Biro,1,0,0,0,1
15,,27,Gabor Demjen,1,0,0,0,1
16,,19,Vinicius Galvao Leal,1,0,0,0,1
17,,1,Vukasin Poleksic,1,0,0,0,1
18,,83,Zoltan Varga,0,0,1,0,1
19,,16,Adam Komlosi,0,0,1,0,1
/,/,/,Own Goals,1,0,0,0,1
,,,TOTALS,70,5,13,0,88
