Team,Manager,City,Stadium,Capacity
LD Alajuelense,Oscar El Machillo Ramirez,Alajuela,Alejandro Morera Soto,"17,895"
Belen Siglo XXI,Vinicio Alvarado,Belen,Estadio Polideportivo de Belen,"3,000"
CS Cartagines,Jhonny Chavez,Cartago,Fello Meza,"13,500"
CS Herediano,Jafet Soto,Heredia,Rosabal Cordero,"8,144"
Limon F.C.,Hernan Fernando Sossa,Limon,Estadio Nuevo de Limon/Estadio Juan Goban,"3,000/2,000"
Orion F.C.,Martin Arreola,Tarrazu,Estadio Municipal de Tarrazu,"1,500"
Municipal Perez Zeledon,Mauricio Wright,San Isidro,Municipal,"6,000"
Puntarenas FC,Luis Fernando Fallas,Puntarenas,Lito Perez,"4,105"
Asociacion Deportiva San Carlos,Marvin Solano,Ciudad Quesada,Carlos Alvarez,"5,600"
Santos de Guapiles,Gustavo Martinez,Guapiles,Ebal Rodriguez,"3,000"
Deportivo Saprissa,Alexander Guimaraes,Tibas,Ricardo Saprissa,"23,000"
