module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
Information Processing within Organizations,12-M-ITM-161-m01,holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"Content:
This course provides students with an in-depth overview of the structure and the application areas of business 
management information systems in enterprises and public institutions.
Outline of syllabus:
1. What is software: concepts, categories, application
2. Software life cycle: duration, phases, steps
3. As-is analysis: tasks, problems
4. To-be concept: system design, data design, dialog design, function design
5. Object orientation: paradigm shift
6. Change management: meaning, methodologies, project management
7. Office automation: tasks, areas of application","After completing the course ""Integrated Information Processing"", students will be able to
(i) understand the importance of integration in enterprises, especially in information systems;
(ii) assess the progress of development of a software project, estimate cycle costs, know and consider require-
ments, which brings a software implementation with;
(iii) select the correct procedures or practices in an as-is analysis and target conception and practically apply 
(with participation in the exercise);
(iv) understand the importance of change management and project management and know the appropriate me-
thods for specific applications.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
IT-Management,12-PS-192-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"Content:
This course provides students with an in-depth overview of aims, tasks and appropriate methods of IT manage-
ment.
Outline of syllabus:
1. Organisation and distinction
2. IT strategy
3. IT organisation
4. Management of IT systems
5. Enterprise Architecture Management
6. IT project management
7. IT security
8. IT law
9. IT controlling
Reading:
• Hofmann/Schmidt: Masterkurs IT-Management, Wiesbaden.
• Tiemeyer: Handbuch IT-Management, Munich.
• Hanschke: Strategisches Management der IT-Landschaft, Munich.","After completing the course ""IT Management"", students will be able to
1. overview the different aspects to be considered regarding a purposeful IT management;
2. understand and apply appropriate methods and tools;
3. independently perform system search and selection in a team project (only after participation in the practice 
lessons).",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Project Seminar,10-I=IR-161-m01,Holder of the Chair of Business Management and Business,Institute of Computer Science,15,numerical grade,,,,,"Content:
In small project teams of 4 to 10 members, students will spend several months actively working on a specific and 
realistic problem with practical relevance. They will progress through several project stages including as-is analy-
sis, to-be conception and implementation of an IS solution. The project teams will be required to work indepen-
dently and will only receive advice and minor support from research assistants.
Reading:
will vary according to topic","After completing the course ""Projektseminar"", students will be able to
1. analyze business tasks and requirements and generate fitting IS solutions;
2. apply project management methods;
3. internalize stress, time and conflict management by means of practical teamwork.",S (2),,--,,450 h,--,--,"Compulsory Electives I: Fundamentals Computer Science
(10 ECTS credits)",--
Information Retrieval,10-I=PA-161-m01,Dean of Studies Informatik (Computer Science),Institute of Computer Science,5,numerical grade,,,,,"IR models (e. g. Boolean and vector space model, evaluation), processing of text (tokenising, text properties), 
data structures (e. g. inverted index), query elements (e. g. query operations, relevance feedback, query langua-
ges and paradigms, structured queries), search engine (e. g. architecture, crawling, interfaces, link analysis), me-
thods to support IR (e. g. recommendation systems, text clustering and classification, information extraction).","The students possess theoretical and practical knowledge in the area of information retrieval and have acquired 
the technical know-how to create a search engine.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's degree (1 major) Digital Humanities (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)



Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
IT,IS,HCI,GE"
Analysis and Design of Programs,10-I=SSS-172-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"Program analysis, model creation in software engineering, program quality, test of programs, process models.","The students are able to analyse programs, to use testing frameworks and metrics as well as to judge program 
quality.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Physics (2016)
Master's degree (1 major) Nanostructure Technology (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's degree (1 major) Nanostructure Technology (2020)
Master's degree (1 major) Physics (2020)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Physics International (2020)
Master's degree (1 major) Quantum Engineering (2020)
Master's degree (1 major) Quantum Technology (2021)
Master's degree (1 major) Computational Mathematics (2022)
Master's degree (1 major) Mathematics (2022)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IS,ES,GE"
Security of Software Systems,10-I=SAR-161-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"The lecture provides an overview of common software vulnerabilities, state-of-the-art attack techniques on mo-
dern computer systems, as well as the measures implemented to protect against these attacks. In the course, 
the following topics are discussed:
• x86-64 instruction set architecture and assembly language
• Runtime attacks (code injection, code reuse, defenses)
• Web security
• Blockchains and smart contracts
• Side-channel attacks
• Hardware security","Students gain a deep understanding of software security, from hardware and low-level attacks to modern con-
cepts such as blockchains. The lecture prepares for research in the area of security and privacy, while the exerci-
ses allow students to gain hands-on experience with attacks and analysis of systems from an attacker's perspec-
tive.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)
Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): SE, 
IS, LR, HCI, ES.
Basic programming knowledge in C is required."
Software Architecture,10-I=KI1-161-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,Current topics in the area of aerospace.,"The students possess a fundamental and applicable knowledge about advanced topics in software engineering 
with a focus on modern software architectures and fundamental approaches to model-driven software enginee-
ring.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Module studies (Master) Computer Science (2019)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Computational Mathematics (2022)
Master's degree (1 major) Mathematics (2022)
Master's degree (1 major) Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,ES"
Artificial Intelligence 1,10-I=ST-161-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Intelligent agents, uninformed and heuristic search, constraint problem solving, search with partial information, 
propositional and predicate logic and inference, knowledge representation.","The students possess theoretical and practical knowledge about artificial intelligence in the area of agents, 
search and logic and are able to assess possible applications.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Physics (2016)
Master's degree (1 major) Nanostructure Technology (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)



Master's degree (1 major) Mathematics (2019)
Master's degree (1 major) Nanostructure Technology (2020)
Master's degree (1 major) Physics (2020)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)
Master's degree (1 major) Physics International (2020)
Master's degree (1 major) Quantum Engineering (2020)
Master's degree (1 major) Quantum Technology (2021)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
AT,SE,IS,HCI"
Discrete Event Simulation,10-I=APR-182-m01,holder of the Chair of Computer Science III,Institute of Computer Science,8,numerical grade,,,,,"Introduction to simulation techniques, statistical groundwork, creation of random numbers and random varia-
bles, random sample theory and estimation techniques, statistical analysis of simulation values, inspection of 
measured data, planning and evaluation of simulation experiments, special random processes, possibilities and 
limits of model creation and simulation, advanced concepts and techniques, practical execution of simulation 
projects.","The students possess the methodic knowledge and the practical skills necessary for the stochastic simulation of 
(technical) systems, the evaluation of results and the correct assessment of the possibilities and limits of simu-
lation methods.",V (4) + Ü (2),,--,,240 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)



Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)
Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
IT,IS,ES,GE"
Advanced Programming,10-I=PNN-212-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"With the knowledge of basic programming, taught in introductory lectures, it is possible to realize simpler pro-
grams. If more complex problems are to be tackled, suboptimal results like long, incomprehensible functions 
and code duplicates occur. In this lecture, further knowledge is to be conveyed on how to give programs and co-
de a sensible structure. Also, further topics in the areas of software security and parallel programming are dis-
cussed.","Students learn advanced programming paradigms especially suited for space applications. Different patterns are 
then implemented in multiple languages and their efficiency measured using standard metrics. In addition, par-
allel processing concepts are introduced culminating in the use of GPU architectures for extremely quick proces-
sing.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,Master's degree (1 major) Satellite Technology (2018),--
