module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
Digital Marketing I,12-M-EC1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Digitalization is rapidly changing our lives, including all types of business relationships. Therefore, new opportu-
nities and approaches have emerged in all areas of the marketing mix: Managers can choose from a wide variety 
of new communication channels, such as social media networks, blogs, or messengers, and can engage in influ-
encer marketing and search engine optimization. They increasingly rely on online customer co-creation or crowd-
sourcing and create a wide variety of new digital products and services, often related to completely new busi-
ness models. Through price crawlers and price setting tools customers‘ price search behaviors have significant-
ly changed, requiring new price setting techniques. Artificial intelligence enables managers to automize and op-
timize many of these marketing processes, thus offering new opportunities and challenges for companies. Over-
all, digital marketing offers a tremendous variety of concepts and approaches to seize respective opportunities 
and deal with related challenges, which will be largely highlighted and discussed in this course.","This course provides a broad overview about these new approaches of digital marketing. It explains the underly-
ing concepts of digital marketing and illustrates these approaches and concepts along numerous case studies. 
After attending this course, students will have a broad as well as in-depth understanding of digital marketing 
and its tools. Morever, they will understand of how to implement these tools successfully in business practice.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Commerce I,12-M-UGF1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"E-commerce is a highly relevant field for almost all types of companies. However, the ecommerce approaches 
and strategies applied by companies differ strongly depending on the respective firm context (e.g., in terms of in-
dustry, types of customers, types of products). In this seminar, students analyze the specific e-commerce strat-
egy of a selected firm. In doing so, they evaluate the strategies’ current and future potential and make suggesti-
ons for improvements and for addressing future trends. Furthermore, each lecture session will contain short pre-
sentations where the students (in groups) will either apply selected lecture topics to real-world business cases 
or present the core aspects of research articles dealing with e-commerce topics in general.","This class enables students to gain insights into real-life e-commerce strategies and to train their abilities in as-
sessing business strategies.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Corporate Entrepreneurship,12-M-UGF3-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module is a theory-led and practice-oriented primer on corporate entrepreneurship. It provides you with 
knowledge useful for anyone aiming at working (or researching) in the field of corporate innovation and entrepre-
neurship or at pursuing an ‘intrapreneurial’ or entrepreneurial career.
(1) Introduction to corporate entrepreneurship
(2) Antecedents and forms of corporate entrepreneurship
(3) Corporate strategy and corporate entrepreneurship
(4) Organizational structure and corporate entrepreneurship
(5) Human resource management and corporate entrepreneurship
(6) Building supportive organizational cultures
(7) Entrepreneurial control systems
(8) Entrepreneurial leadership
(9) The corporate entrepreneur as a champion and diplomat
(10) The pay-off from corporate entrepreneurship
(11) Corporate venture capital
(12) Corporate entrepreneurship in nonprofit and government organizations
(13) Universities and academic spin-offs
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate entrepreneurship
• Explain theoretical concepts and mechanisms behind corporate entrepreneurship
• Enable students to critically appraise alternative approaches to corporate entrepreneurship
• Enable students to evaluate the boundaries and risks of corporate entrepreneurship
Learning outcomes
On successful completion of this module students will be able to:
• Create and evaluate concepts related to corporate entrepreneurship
• Assess the role of corporate entrepreneurship for creating and sustaining competitive advantage
• Make judgements about the organizational and managerial implications of corporate entrepreneurship
• Systematically choose between different routes of action


data record Master (120 ECTS) Management - 2018

Management","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Entrepreneurship,12-M-IBS-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module provides an introduction into digital entrepreneurship and digital transformation. (1) Introduction 
(2) Digital business models (3) Identifying and exploiting opportunities for digital entrepreneurship (4) Strategies 
for creating competitive advantage in digital entrepreneurship (5) Digital marketing for entrepreneurs (6) Crowd-
funding for entrepreneurs (7) Design thinking (8) Lean startup (9) Platform ecosystems and online communities 
(10) Digital strategy and digital transformation (11) The agile organization (12) Crowdsourcing (13) Cyberfraud (14) 
Wrap-up and Q&A","Educational aims: Clarify the role of digital entrepreneurship and digital transformation. Explain theoretical con-
cepts and mechanisms behind digital entrepreneurship and digital transformation. Enable students to critically 
appraise alternative approaches to digital entrepreneurship and digital transformation. Enable students to eva-
luate the boundaries and risks of digital entrepreneurship and digital transformation
Learning outcomes: On successful completion of this module students will be able to (1) Assess the role of di-
gital entrepreneurship and digital transformation for creating and sustaining competitive advantage, (2) Crea-
te and evaluate concepts related to digital entrepreneurship and digital transformation, (3) Make judgements 
about the organizational and managerial implications of digital entrepreneurship and digital transformation, (4) 
Systematically choose between different routes of action.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Human-Computer-Interaction (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Human-Computer-Interaction (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Business Strategies,12-M-DM1-182-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"The module provides an overview of strategic implications of digital technologies at the level of organisations, 
industries and value networks. To this end, concepts and frameworks from strategic technology management are 
applied to digital innovations and illustrated with numerous examples. In the accompanying exercise, case stu-
dies of well-known digital companies and their business models are analysed and discussed.","- Understand theoretical concepts of strategy development and implementation in the context of digital techno-
logies.
- Apply different frames of reference and understand their strengths and weaknesses in the context of practical 
application.
- Transfer the concepts to real business situations",V (2) + Ü (2),,"40 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , Core Electives, (40 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing I,12-M-EC1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Digitalization is rapidly changing our lives, including all types of business relationships. Therefore, new opportu-
nities and approaches have emerged in all areas of the marketing mix: Managers can choose from a wide variety 
of new communication channels, such as social media networks, blogs, or messengers, and can engage in influ-
encer marketing and search engine optimization. They increasingly rely on online customer co-creation or crowd-
sourcing and create a wide variety of new digital products and services, often related to completely new busi-
ness models. Through price crawlers and price setting tools customers‘ price search behaviors have significant-
ly changed, requiring new price setting techniques. Artificial intelligence enables managers to automize and op-
timize many of these marketing processes, thus offering new opportunities and challenges for companies. Over-
all, digital marketing offers a tremendous variety of concepts and approaches to seize respective opportunities 
and deal with related challenges, which will be largely highlighted and discussed in this course.","This course provides a broad overview about these new approaches of digital marketing. It explains the underly-
ing concepts of digital marketing and illustrates these approaches and concepts along numerous case studies. 
After attending this course, students will have a broad as well as in-depth understanding of digital marketing 
and its tools. Morever, they will understand of how to implement these tools successfully in business practice.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Commerce I,12-M-UGF1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"E-commerce is a highly relevant field for almost all types of companies. However, the ecommerce approaches 
and strategies applied by companies differ strongly depending on the respective firm context (e.g., in terms of in-
dustry, types of customers, types of products). In this seminar, students analyze the specific e-commerce strat-
egy of a selected firm. In doing so, they evaluate the strategies’ current and future potential and make suggesti-
ons for improvements and for addressing future trends. Furthermore, each lecture session will contain short pre-
sentations where the students (in groups) will either apply selected lecture topics to real-world business cases 
or present the core aspects of research articles dealing with e-commerce topics in general.","This class enables students to gain insights into real-life e-commerce strategies and to train their abilities in as-
sessing business strategies.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Corporate Entrepreneurship,12-M-UGF2-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module is a theory-led and practice-oriented primer on corporate entrepreneurship. It provides you with 
knowledge useful for anyone aiming at working (or researching) in the field of corporate innovation and entrepre-
neurship or at pursuing an ‘intrapreneurial’ or entrepreneurial career.
(1) Introduction to corporate entrepreneurship
(2) Antecedents and forms of corporate entrepreneurship
(3) Corporate strategy and corporate entrepreneurship
(4) Organizational structure and corporate entrepreneurship
(5) Human resource management and corporate entrepreneurship
(6) Building supportive organizational cultures
(7) Entrepreneurial control systems
(8) Entrepreneurial leadership
(9) The corporate entrepreneur as a champion and diplomat
(10) The pay-off from corporate entrepreneurship
(11) Corporate venture capital
(12) Corporate entrepreneurship in nonprofit and government organizations
(13) Universities and academic spin-offs
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate entrepreneurship
• Explain theoretical concepts and mechanisms behind corporate entrepreneurship
• Enable students to critically appraise alternative approaches to corporate entrepreneurship
• Enable students to evaluate the boundaries and risks of corporate entrepreneurship
Learning outcomes
On successful completion of this module students will be able to:
• Create and evaluate concepts related to corporate entrepreneurship
• Assess the role of corporate entrepreneurship for creating and sustaining competitive advantage
• Make judgements about the organizational and managerial implications of corporate entrepreneurship
• Systematically choose between different routes of action


data record Master (120 ECTS) Management - 2018

Management","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Corporate Strategy,12-M-UGF3-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This theory-led and application-oriented module provides you with critical knowledge and skills related to cor-
porate strategy—essential for anyone aspiring to take on leadership roles in their future career, may it be in the 
private or public sector. The module goes beyond basic knowledge about strategic management provided by ba-
chelor-level modules.
(1) Developing strategies in pursuit of competitive advantage
(2) Corporate diversification
(3) Vertical integration and outsourcing
(4) Mergers & acquisitions
(5) Dynamic strategies
(6) Cooperative strategies
(7) Corporate spin-offs and spin-outs
(8) Internationalization strategies (I)
(9) Internationalization strategies (II)
(10) Strategic change
(11) Corporate strategies and new technologies
(12) Corporate governance and corporate social responsibility
(13) Corporate communication and crisis management
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate strategy
• Explain theoretical concepts and mechanisms behind corporate strategy
• Enable students to critically appraise alternative approaches to corporate strategy
• Enable students to evaluate the boundaries and risks of corporate strategy
Learning outcomes
On successful completion of this module students will be able to:
• Assess the role of corporate strategy for creating and sustaining competitive advantage
• Create and evaluate concepts related to corporate strategy
• Make judgements about the organizational and managerial implications of corporate strategy


data record Master (120 ECTS) Management - 2018

Management

• Systematically choose between different routes of action","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Entrepreneurship,12-M-IBS-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module provides an introduction into digital entrepreneurship and digital transformation. (1) Introduction 
(2) Digital business models (3) Identifying and exploiting opportunities for digital entrepreneurship (4) Strategies 
for creating competitive advantage in digital entrepreneurship (5) Digital marketing for entrepreneurs (6) Crowd-
funding for entrepreneurs (7) Design thinking (8) Lean startup (9) Platform ecosystems and online communities 
(10) Digital strategy and digital transformation (11) The agile organization (12) Crowdsourcing (13) Cyberfraud (14) 
Wrap-up and Q&A","Educational aims: Clarify the role of digital entrepreneurship and digital transformation. Explain theoretical con-
cepts and mechanisms behind digital entrepreneurship and digital transformation. Enable students to critically 
appraise alternative approaches to digital entrepreneurship and digital transformation. Enable students to eva-
luate the boundaries and risks of digital entrepreneurship and digital transformation
Learning outcomes: On successful completion of this module students will be able to (1) Assess the role of di-
gital entrepreneurship and digital transformation for creating and sustaining competitive advantage, (2) Crea-
te and evaluate concepts related to digital entrepreneurship and digital transformation, (3) Make judgements 
about the organizational and managerial implications of digital entrepreneurship and digital transformation, (4) 
Systematically choose between different routes of action.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Human-Computer-Interaction (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Human-Computer-Interaction (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
